0.00000	0.00000
0.02500	0.15811
0.05000	0.22361
0.07500	0.27386
0.10000	0.31623
0.12500	0.35355
0.15000	0.38730
0.17500	0.41833
0.20000	0.44721
0.22500	0.47434
0.25000	0.50000
0.27500	0.52440
0.30000	0.54772
0.32500	0.57009
0.35000	0.59161
0.37500	0.61237
0.40000	0.63246
0.42500	0.65192
0.45000	0.67082
0.47500	0.68920
0.50000	0.70711
0.52500	0.72457
0.55000	0.74162
0.57500	0.75829
0.60000	0.77460
0.62500	0.79057
0.65000	0.80623
0.67500	0.82158
0.70000	0.83666
0.72500	0.85147
0.75000	0.86603
0.77500	0.88034
0.80000	0.89443
0.82500	0.90830
0.85000	0.92195
0.87500	0.93541
0.90000	0.94868
0.92500	0.96177
0.95000	0.97468
0.97500	0.98742
1.00000	1.00000
